epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
39,582.886,0.43721,0.41631,0.9514,0.92162,0.96646,0.98788,0.88327,0.63728,0.46424,1.00506,8.51333e-05,8.51333e-05,8.51333e-05
40,597.506,0.42402,0.40951,0.97726,0.91237,0.99834,0.98478,0.86306,0.64033,0.47238,1.00675,8.43851e-05,8.43851e-05,8.43851e-05
41,612.032,0.46167,0.43355,0.97285,0.91141,0.98652,0.98081,0.85636,0.63979,0.48229,0.99518,8.3622e-05,8.3622e-05,8.3622e-05
42,626.709,0.42547,0.41568,0.95526,0.945,0.9726,0.98973,0.87845,0.63194,0.45637,1.00087,8.28443e-05,8.28443e-05,8.28443e-05
43,640.735,0.40412,0.40261,0.94736,0.94662,0.9863,0.98783,0.87102,0.6147,0.43899,0.98181,8.20525e-05,8.20525e-05,8.20525e-05
44,655.776,0.43029,0.40488,0.96439,0.92021,0.9863,0.98972,0.87739,0.62838,0.43485,0.98672,8.12468e-05,8.12468e-05,8.12468e-05
45,669.779,0.42825,0.40499,0.96018,0.92036,0.9863,0.9893,0.88101,0.61293,0.45251,0.97742,8.04277e-05,8.04277e-05,8.04277e-05
46,684.5,0.4163,0.38921,0.98404,0.91074,0.9863,0.98711,0.87,0.59866,0.46435,0.97066,7.95954e-05,7.95954e-05,7.95954e-05
47,699.665,0.37862,0.37893,0.93016,0.92212,0.9863,0.98805,0.86474,0.62049,0.45741,0.98327,7.87503e-05,7.87503e-05,7.87503e-05
48,714.078,0.41288,0.39635,0.93738,0.9122,0.99627,0.98589,0.87364,0.60554,0.48242,0.98835,7.78929e-05,7.78929e-05,7.78929e-05
49,728.492,0.41096,0.39821,0.9427,0.92388,1,0.98775,0.88848,0.595,0.44135,0.97568,7.70234e-05,7.70234e-05,7.70234e-05
50,743.058,0.37664,0.37527,0.93627,0.93422,0.9863,0.98989,0.88214,0.61928,0.43338,0.97366,7.61423e-05,7.61423e-05,7.61423e-05
51,757.819,0.37611,0.37618,0.92791,0.9223,1,0.99077,0.8564,0.64669,0.47743,1.00666,7.525e-05,7.525e-05,7.525e-05
52,772.357,0.41925,0.42327,0.96065,0.98348,0.9726,0.99342,0.85499,0.64725,0.45053,1.02392,7.43468e-05,7.43468e-05,7.43468e-05
53,787.557,0.3646,0.37684,0.91034,0.98617,0.97651,0.99367,0.85644,0.64414,0.4173,1.03524,7.34332e-05,7.34332e-05,7.34332e-05
54,801.663,0.35923,0.38014,0.90152,0.93472,0.98069,0.99004,0.84226,0.6303,0.43976,1.03705,7.25094e-05,7.25094e-05,7.25094e-05
55,816.777,0.37959,0.38408,0.92002,0.94029,0.94521,0.98757,0.84256,0.6322,0.47207,1.00895,7.15761e-05,7.15761e-05,7.15761e-05
56,831.114,0.36816,0.37697,0.92415,0.90184,0.9863,0.98424,0.84141,0.65012,0.46757,1.01887,7.06335e-05,7.06335e-05,7.06335e-05
57,845.304,0.37793,0.36424,0.91026,0.97203,0.93151,0.98995,0.85614,0.64931,0.44733,1.02827,6.9682e-05,6.9682e-05,6.9682e-05
58,860.182,0.38702,0.39251,0.92659,0.91342,1,0.98744,0.84787,0.64205,0.47561,1.05125,6.87222e-05,6.87222e-05,6.87222e-05
59,874.184,0.39457,0.37934,0.92652,0.90808,1,0.98402,0.84027,0.63106,0.46915,1.0383,6.77543e-05,6.77543e-05,6.77543e-05
60,888.778,0.38131,0.37697,0.92447,0.92398,0.99894,0.99015,0.8653,0.63545,0.4329,1.0323,6.67789e-05,6.67789e-05,6.67789e-05
61,903.333,0.3712,0.36794,0.90855,0.96807,0.9726,0.9898,0.86871,0.64055,0.42353,1.04533,6.57963e-05,6.57963e-05,6.57963e-05
62,918.056,0.38445,0.38105,0.88769,0.94774,0.9863,0.99084,0.86522,0.63866,0.41895,1.03063,6.48071e-05,6.48071e-05,6.48071e-05
